NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
336,제주특별자치도 서귀포시 동홍동,1185-1,1185,1,라인뷰,84.8615,202506,11,"23,500",-,1,개인,개인,2015,동홍로162번길 5,-,직거래,-,25.06.11
337,제주특별자치도 서귀포시 동홍동,1557-1,1557,1,센트럴팰리스,38.26,202506,11,"16,800",-,8,개인,개인,2018,중앙로 172,-,중개거래,제주 서귀포시,-
338,제주특별자치도 제주시 일도이동,321-19,321,19,일도더팰리스,88.82,202506,11,"40,000",-,2,개인,개인,2023,고마로9길 3,-,직거래,-,25.06.13
339,제주특별자치도 제주시 화북일동,09월 01일,9,1,"화북주공2,3단지",59.93,202506,11,"27,000",화북2아파트207,1,개인,개인,1998,동화로1길 39,-,중개거래,제주 제주시,25.07.31
340,제주특별자치도 제주시 화북일동,09월 01일,9,1,"화북주공2,3단지",59.93,202506,11,"27,000",-,1,개인,개인,1998,동화로1길 39,20250722,중개거래,제주 제주시,-
341,제주특별자치도 제주시 애월읍 하귀1리,167,167,0,제주하귀휴먼시아1단지,84.85,202506,10,"43,000",110,3,개인,개인,2010,하귀9길 45,-,직거래,-,25.07.21
342,제주특별자치도 제주시 이도이동,888,888,0,주공1,47.33,202506,10,"79,500",113,1,개인,개인,1985,구남로7길 36,-,직거래,-,25.06.10
343,제주특별자치도 제주시 이도이동,1956,1956,0,이도한일베라체,84.5,202506,10,"66,700",101,9,개인,개인,2011,신설로 55,-,중개거래,제주 제주시,25.07.29
344,제주특별자치도 제주시 화북이동,117,117,0,제주삼화엘에이치2단지,74.83,202506,10,"56,500",-,12,개인,개인,2014,화삼로 32,-,중개거래,제주 제주시,-
345,제주특별자치도 제주시 한림읍 동명리,1581-1,1581,1,제주한림코아루,84.9979,202506,10,"28,500",101동,3,개인,개인,2016,동명북2길 15,-,중개거래,제주 제주시,25.08.08
346,제주특별자치도 제주시 연동,301-7,301,7,현일아파트,80.8,202506,10,"29,500",-,10,개인,법인,2004,신대로 72,-,중개거래,제주 제주시,25.07.07
347,제주특별자치도 제주시 외도일동,560-2,560,2,부영(2차),84.9873,202506,10,"42,000",-,1,개인,개인,2001,우평로 318,-,중개거래,제주 제주시,-
348,제주특별자치도 제주시 일도이동,Jan-47,47,1,일도신천지,59.97,202506,10,"22,000",103,1,개인,개인,1993,천수로 72,-,직거래,-,25.06.13
349,제주특별자치도 제주시 일도이동,330-13,330,13,지산20차인화위더스빌,35.04,202506,10,"9,400",-,8,개인,개인,2013,고마로10길 4,-,직거래,-,25.06.11
350,제주특별자치도 서귀포시 대정읍 하모리,1221-1,1221,1,더그라벨아파트,57.13,202506,10,"18,000",-,7,개인,개인,2019,신영로 5,-,중개거래,제주 서귀포시,25.06.20
351,제주특별자치도 제주시 노형동,754-4,754,4,부영2차,45.9078,202506,10,"32,000",-,5,개인,개인,2001,과원로 11,-,중개거래,제주 제주시,-
352,제주특별자치도 제주시 노형동,1069-2,1069,2,엔알누리8차,84.62,202506,10,"44,500",가동,3,개인,개인,2022,월랑로6길 26,-,중개거래,제주 제주시,25.07.28
353,제주특별자치도 제주시 연동,Jun-25,2325,6,타워프로빌,138.14,202506,9,"53,800",-,17,개인,법인,2010,도령로 95,20250704,중개거래,제주 제주시,-
354,제주특별자치도 제주시 연동,Jun-25,2325,6,타워프로빌,138.14,202506,9,"53,800",-,17,개인,법인,2010,도령로 95,-,중개거래,제주 제주시,25.07.11
355,제주특별자치도 제주시 연동,Jun-50,1950,6,지산13차위더스빌,84.9141,202506,9,"32,000",1,6,개인,개인,2007,남녕로 54,-,중개거래,제주 제주시,25.07.08
356,제주특별자치도 서귀포시 동홍동,1369,1369,0,동홍동센트레빌,84.9196,202506,9,"47,000",105동,4,개인,개인,2021,중앙로182번길 40,-,중개거래,제주 서귀포시,25.07.02
357,제주특별자치도 서귀포시 보목동,875,875,0,로얄하이츠맨션,83.7,202506,9,"14,500",가,4,개인,개인,1990,마소물로8번길 10-1,-,직거래,-,25.06.30
358,제주특별자치도 제주시 연동,253-7,253,7,굿윌카운티,82.955,202506,9,"31,000",-,14,개인,개인,2004,연동4길 6-12,-,중개거래,제주 제주시,25.07.17
359,제주특별자치도 제주시 외도일동,494-2,494,2,더펠리스11차,84.8657,202506,9,"46,600",-,4,개인,법인,2023,우령6길 27,-,중개거래,제주 제주시,-
360,제주특별자치도 서귀포시 동홍동,1674,1674,0,주공5차(동홍5차),49.87,202506,9,"16,700",522,4,개인,개인,1999,중산간동로 8002,-,중개거래,제주 서귀포시,25.06.18
361,제주특별자치도 서귀포시 동홍동,201,201,0,삼아,91.98,202506,9,"20,000",101,4,개인,개인,1991,태평로536번길 6,-,중개거래,제주 서귀포시,25.08.08
362,제주특별자치도 서귀포시 동홍동,1230-1,1230,1,동홍반석아르미,82.3378,202506,9,"13,500",-,1,개인,개인,2003,동홍로162번길 30,-,직거래,-,-
363,제주특별자치도 제주시 이도이동,1083-14,1083,14,이도한우리,84.5,202506,9,"36,000",-,2,개인,개인,2004,오복4길 38,-,중개거래,제주 제주시,-
364,제주특별자치도 제주시 노형동,Mar-12,2512,3,탐라빌,59.58,202506,8,"19,950",-,1,개인,개인,2001,수덕9길 72,-,중개거래,제주 제주시,-
365,제주특별자치도 제주시 외도일동,560-1,560,1,외도부영1차,59.933,202506,8,"27,500",104,9,개인,개인,2000,우정로11길 22,-,직거래,-,25.08.05
366,제주특별자치도 서귀포시 동홍동,1369,1369,0,동홍동센트레빌,84.9196,202506,8,"48,300",-,8,개인,개인,2021,중앙로182번길 40,-,중개거래,제주 서귀포시,-
367,제주특별자치도 제주시 이호이동,113-2,113,2,이호엘리시아아파트,81.877,202506,7,"28,000",-,6,개인,법인,2017,대동길 10,-,중개거래,제주 제주시,-
368,제주특별자치도 제주시 삼양이동,Mar-32,2132,3,동명,69.27,202506,7,"18,500",가,2,개인,개인,1991,일주동로 361,-,중개거래,제주 제주시,25.06.27
369,제주특별자치도 제주시 노형동,754-4,754,4,부영2차,45.9078,202506,7,"34,000",-,4,개인,개인,2001,과원로 11,-,중개거래,제주 제주시,-
370,제주특별자치도 제주시 노형동,Jan-83,2583,1,노형뜨란채,84.98,202506,7,"60,000",215,10,개인,개인,2006,수덕로 44,-,중개거래,제주 제주시,25.06.20
371,제주특별자치도 제주시 삼도일동,1227-33,1227,33,신한양레드빌,84.925,202506,7,"26,000",-,10,개인,개인,2005,서사로4길 22,-,중개거래,제주 제주시,-
372,제주특별자치도 서귀포시 서홍동,2598,2598,0,서강파인힐6차,84.045,202506,7,"39,800",606동,4,개인,개인,2020,홍중로 119-2,-,중개거래,제주 서귀포시,25.08.07
373,제주특별자치도 제주시 노형동,754-4,754,4,부영2차,45.9078,202506,7,"34,000",-,4,개인,개인,2001,과원로 11,20250609,중개거래,제주 제주시,-
374,제주특별자치도 제주시 노형동,Jan-83,2583,1,노형뜨란채,84.98,202506,7,"60,000",-,10,개인,개인,2006,수덕로 44,20250616,중개거래,제주 제주시,-
